Daily Date,Year High (GH¢),Year Low (GH¢)
2022-11-30,1.11,0.75
2022-12-01,1.11,0.75
2022-12-05,1.11,0.75
2022-12-06,1.11,0.75
2022-12-07,1.11,0.75
2022-12-08,1.11,0.75
2022-12-09,1.11,0.75
2022-12-12,1.11,0.75
2022-12-13,1.11,0.75
2022-12-14,1.11,0.75
2022-12-15,1.11,0.75
2022-12-16,1.11,0.75
2022-12-19,1.11,0.75
2022-12-20,1.11,0.75
2022-12-21,1.11,0.75
2022-12-22,1.11,0.75
2022-12-23,1.11,0.75
2022-12-28,1.11,0.75
2022-12-29,1.11,0.75
2022-12-30,1.11,0.75
2023-01-03,0.88,0.88
2023-01-04,0.88,0.88
2023-01-05,0.88,0.88
2023-01-06,0.88,0.88
2023-01-10,0.88,0.88
2023-01-11,0.88,0.88
2023-01-12,0.88,0.88
2023-01-13,0.88,0.88
2023-01-16,0.88,0.88
2023-01-17,0.88,0.88
2023-01-18,0.88,0.88
2023-01-19,0.88,0.88
2023-01-20,0.88,0.88
2023-01-23,0.88,0.88
2023-01-24,0.88,0.88
2023-01-26,0.88,0.88
2023-01-27,0.88,0.88
2023-01-30,0.88,0.82
2023-01-31,0.88,0.82
2023-02-01,0.88,0.82
2023-02-03,0.88,0.82
2023-02-06,0.88,0.82
2023-02-07,0.88,0.82
2023-02-08,0.88,0.82
2023-02-09,0.88,0.82
2023-02-10,0.88,0.82
2023-02-13,0.9,0.82
2023-02-14,0.9,0.82
2023-02-15,0.9,0.82
2023-02-16,0.9,0.82
2023-02-17,0.9,0.82
2023-02-20,0.9,0.82
2023-02-21,0.9,0.82
2023-02-22,0.9,0.82
2023-02-23,0.92,0.82
2023-02-24,0.92,0.82
2023-02-27,0.92,0.82
2023-02-28,0.92,0.82
2023-03-01,0.92,0.82
2023-03-02,0.93,0.82
2023-03-03,0.93,0.82
2023-03-07,0.93,0.82
2023-03-08,0.93,0.82
2023-03-09,0.95,0.82
2023-03-10,1.0,0.82
2023-03-13,1.03,0.82
2023-03-14,1.1,0.82
2023-03-15,1.16,0.82
2023-03-16,1.2,0.82
2023-03-17,1.2,0.82
2023-03-20,1.2,0.82
2023-03-21,1.2,0.82
2023-03-22,1.2,0.82
2023-03-23,1.3,0.82
2023-03-24,1.3,0.82
2023-03-27,1.3,0.82
2023-03-28,1.3,0.82
2023-03-29,1.3,0.82
2023-03-30,1.3,0.82
2023-03-31,1.3,0.82
2023-04-03,1.3,0.82
2023-04-04,1.3,0.82
2023-04-05,1.3,0.82
2023-04-05,1.3,0.82
2023-04-06,1.3,0.82
2023-04-11,1.3,0.82
2023-04-12,1.3,0.82
2023-04-13,1.3,0.82
2023-04-14,1.3,0.82
2023-04-17,1.3,0.82
2023-04-18,1.3,0.82
2023-04-19,1.3,0.82
2023-04-20,1.3,0.82
2023-04-21,1.3,0.82
2023-04-25,1.3,0.82
2023-04-26,1.3,0.82
2023-04-27,1.3,0.82
2023-04-28,1.3,0.82
2023-05-02,1.3,0.82
2023-05-03,1.3,0.82
2023-05-04,1.3,0.82
2023-05-05,1.3,0.82
2023-05-08,1.3,0.82
2023-05-09,1.3,0.82
2023-05-10,1.3,0.82
2023-05-11,1.3,0.82
2023-05-12,1.3,0.82
2023-05-15,1.3,0.82
2023-05-16,1.3,0.82
2023-05-17,1.3,0.82
2023-05-18,1.3,0.82
2023-05-19,1.3,0.82
2023-05-22,1.3,0.82
2023-05-23,1.3,0.82
2023-05-24,1.3,0.82
2023-05-25,1.3,0.82
2023-05-26,1.3,0.82
2023-05-29,1.3,0.82
2023-05-30,1.3,0.82
2023-05-31,1.3,0.82
2023-06-01,1.3,0.82
2023-06-02,1.3,0.82
2023-06-05,1.3,0.82
2023-06-07,1.3,0.82
2023-06-08,1.3,0.82
2023-06-09,1.3,0.82
2023-06-12,1.3,0.82
2023-06-13,1.3,0.82
2023-06-14,1.3,0.82
2023-06-15,1.3,0.82
2023-06-16,1.3,0.82
2023-06-19,1.3,0.82
2023-06-20,1.3,0.82
2023-06-21,1.3,0.82
2023-06-22,1.3,0.82
2023-06-23,1.3,0.82
2023-06-26,1.3,0.82
2023-06-27,1.32,0.82
2023-06-29,1.32,0.82
2023-06-30,1.32,0.82
2023-07-03,1.32,0.82
2023-07-04,1.32,0.82
2023-07-05,1.33,0.82
2023-07-06,1.33,0.82
2023-07-07,1.45,0.82
2023-07-10,1.45,0.82
2023-07-11,1.45,0.82
2023-07-12,1.45,0.82
2023-07-13,1.45,0.82
2023-07-14,1.45,0.82
2023-07-17,1.45,0.82
2023-07-18,1.45,0.82
2023-07-19,1.45,0.82
2023-07-20,1.45,0.82
2023-07-21,1.45,0.82
2023-07-24,1.45,0.82
2023-07-25,1.45,0.82
2023-07-26,1.45,0.82
2023-07-27,1.45,0.82
2023-07-28,1.45,0.82
2023-07-31,1.45,0.82
2023-08-01,1.55,0.82
2023-08-02,1.55,0.82
2023-08-07,1.55,0.82
2023-08-08,1.55,0.82
2023-08-09,1.55,0.82
2023-08-10,1.55,0.82
2023-08-11,1.55,0.82
2023-08-15,1.55,0.82
2023-08-16,1.55,0.82
2023-08-18,1.55,0.82
2023-08-21,1.55,0.82
2023-08-22,1.55,0.82
2023-08-23,1.55,0.82
2023-08-24,1.55,0.82
2023-08-25,1.55,0.82
2023-08-28,1.55,0.82
2023-08-29,1.55,0.82
2023-08-30,1.55,0.82
2023-09-01,1.55,0.82
2023-09-04,1.55,0.82
2023-09-05,1.55,0.82
2023-09-06,1.55,0.82
2023-09-07,1.55,0.82
2023-09-08,1.55,0.82
2023-09-11,1.55,0.82
2023-09-12,1.55,0.82
2023-09-13,1.55,0.82
2023-09-14,1.55,0.82
2023-09-15,1.55,0.82
2023-09-18,1.55,0.82
2023-09-19,1.55,0.82
2023-09-20,1.55,0.82
2023-09-22,1.55,0.82
2023-09-25,1.55,0.82
2023-09-26,1.55,0.82
2023-09-27,1.55,0.82
2023-09-28,1.55,0.82
2023-09-29,1.55,0.82
2023-10-02,1.55,0.82
2023-10-03,1.55,0.82
2023-10-04,1.55,0.82
2023-10-05,1.55,0.82
2023-10-06,1.55,0.82
2023-10-09,1.55,0.82
2023-10-10,1.55,0.82
2023-10-11,1.55,0.82
2023-10-12,1.55,0.82
2023-10-13,1.55,0.82
2023-10-16,1.55,0.82
2023-10-17,1.55,0.82
2023-10-18,1.55,0.82
2023-10-19,1.55,0.82
2023-10-20,1.55,0.82
2023-10-23,1.55,0.82
2023-10-24,1.55,0.82
2023-10-25,1.55,0.82
2023-10-26,1.55,0.82
2023-10-27,1.55,0.82
2023-10-30,1.55,0.82
2023-10-31,1.55,0.82
2023-11-01,1.55,0.82
2023-11-02,1.55,0.82
2023-11-03,1.55,0.82
2023-11-06,1.55,0.82
2023-11-07,1.55,0.82
2023-11-08,1.55,0.82
2023-11-09,1.55,0.82
2023-11-10,1.55,0.82
2023-11-13,1.55,0.82
2023-11-14,1.55,0.82
2023-11-15,1.55,0.82
2023-11-16,1.55,0.82
2023-11-17,1.55,0.82
2023-11-20,1.55,0.82
2023-11-21,1.55,0.82
2023-11-22,1.55,0.82
2023-11-23,1.55,0.82
2023-11-24,1.55,0.82
2023-11-27,1.55,0.82
2023-11-28,1.55,0.82
2023-11-29,1.55,0.82
2023-11-30,1.55,0.82
